업체명,식품명,기준량(g),에너지(kcal),단백질(g),지방(g),탄수화물(g),에너지밀도(kcal/g),탄수화물_에너지비율(%),단백질_에너지비율(%),지방_에너지비율(%),단백질_INQ
파리바게뜨,치즈빵_블루치즈브레드,100,286,7.94,-1.0,-1.0,2.86,-1.0,11.1,-1.0,1.01
뚜레쥬르,치즈빵_빵속에리얼초코,100,329,7.9,-1.0,-1.0,3.29,-1.0,9.6,-1.0,0.87
파리바게뜨,치즈빵_양파치즈브레드,100,327,8.54,-1.0,-1.0,3.27,-1.0,10.45,-1.0,0.95
뚜레쥬르,치즈빵_진한크림치즈빵,100,346,7.41,-1.0,-1.0,3.46,-1.0,8.57,-1.0,0.78
파리바게뜨,치즈빵_쫀득치즈스틱,100,350,3.0,-1.0,-1.0,3.5,-1.0,3.43,-1.0,0.31
뚜레쥬르,치즈빵_치즈방앗간,100,315,5.2,-1.0,-1.0,3.15,-1.0,6.6,-1.0,0.6
뚜레쥬르,치즈빵_치즈클라우드브레드,100,372,12.18,-1.0,-1.0,3.72,-1.0,13.1,-1.0,1.19
뚜레쥬르,치즈빵_크림치즈월넛브레드,100,380,9.58,-1.0,-1.0,3.8,-1.0,10.08,-1.0,0.92
파리바게뜨,치즈빵_크림치즈쫀득이(1EA),100,348,3.03,-1.0,-1.0,3.48,-1.0,3.48,-1.0,0.32
더벤티,치즈빵_치즈빵빵,100,288,6.67,-1.0,-1.0,2.88,-1.0,9.26,-1.0,0.84
이디야,카스텔라_민트초코 생크림 카스텔라,100,326,7.2,-1.0,-1.0,3.26,-1.0,8.83,-1.0,0.8
파스쿠찌,카스텔라_베리베리 카스텔라,100,341,6.0,-1.0,-1.0,3.41,-1.0,7.04,-1.0,0.64
스타벅스,카스텔라_부드러운 생크림 카스텔라,100,332,5.88,-1.0,-1.0,3.32,-1.0,7.08,-1.0,0.64
토프레소,카스텔라_생크림 카스테라,100,386,10.83,-1.0,-1.0,3.86,-1.0,11.22,-1.0,1.02
메가커피,카스텔라_생크림 카스테라,100,352,6.61,-1.0,-1.0,3.52,-1.0,7.51,-1.0,0.68
스타벅스,카스텔라_우리 흑米 카스텔라,100,315,8.0,-1.0,-1.0,3.15,-1.0,10.16,-1.0,0.92
스타벅스,카스텔라_우리米 카스텔라,100,305,7.0,-1.0,-1.0,3.05,-1.0,9.18,-1.0,0.83
커피에반하다,카스텔라_우유크림 카스테라,100,352,33.33,-1.0,-1.0,3.52,-1.0,37.88,-1.0,3.44
롤링핀,카스텔라_촉촉한 쌀카스테라 녹차,100,294,6.67,-1.0,-1.0,2.94,-1.0,9.07,-1.0,0.82
롤링핀,카스텔라_촉촉한 쌀카스테라 플레인,100,309,6.67,-1.0,-1.0,3.09,-1.0,8.63,-1.0,0.78
파리바게뜨,카스텔라_카스테라구마,100,314,4.76,-1.0,-1.0,3.14,-1.0,6.06,-1.0,0.55
따삐오,카스텔라_카스텔라우유스틱 브레드,100,284,7.0,-1.0,-1.0,2.84,-1.0,9.86,-1.0,0.9
스타벅스,카스텔라_큐브 라이스 카스텔라,100,323,7.5,-1.0,-1.0,3.23,-1.0,9.29,-1.0,0.84
커피에반하다,카스텔라_폭탄 카스테라,100,352,33.33,-1.0,-1.0,3.52,-1.0,37.88,-1.0,3.44
요거프레소,카스텔라_플레인 카스테라,100,368,4.23,-1.0,-1.0,3.68,-1.0,4.6,-1.0,0.42
따삐오,카스텔라_후레쉬카스텔라,100,337,6.0,-1.0,-1.0,3.37,-1.0,7.12,-1.0,0.65
던킨도너츠,카스텔라_생크림 카스텔라,100,349,5.36,20.54,35.71,3.49,40.93,6.14,52.97,0.56
파리바게뜨,카스텔라_우유생크림 카스테라,100,329,5.71,18.1,37.14,3.29,45.16,6.94,49.51,0.63
더리터,카스텔라_난리난 카스텔라,100,312,6.67,-1.0,41.67,3.12,53.42,8.55,-1.0,0.78
할리스,카스텔라_생크림 가득 카스텔라,100,174,2.76,-1.0,-1.0,1.74,-1.0,6.34,-1.0,0.58
카페게이트,카스텔라_생크림 카스테라,100,352,6.67,-1.0,-1.0,3.52,-1.0,7.58,-1.0,0.69
더벤티,카스텔라_우유크림카스테라,100,333,5.71,-1.0,-1.0,3.33,-1.0,6.86,-1.0,0.62
커피베이,카스텔라_크림가득 카스테라,100,314,5.6,-1.0,-1.0,3.14,-1.0,7.13,-1.0,0.65
바나프레소,카스텔라_클래식 카스테라,100,309,11.77,11.77,39.71,3.09,51.4,15.24,34.28,1.39
이디야,카스텔라_펄 슈가 카스테라,100,303,7.5,-1.0,-1.0,3.03,-1.0,9.9,-1.0,0.9
파스쿠찌,카스텔라_폭신한 생크림 카스텔라,100,352,5.46,-1.0,-1.0,3.52,-1.0,6.2,-1.0,0.56
파스쿠찌,케이크_11겹 작은 바움쿠헨 케이크,100,357,5.71,-1.0,-1.0,3.57,-1.0,6.4,-1.0,0.58
파스쿠찌,케이크_ITS 스윗콘 케이크,100,255,5.04,-1.0,-1.0,2.55,-1.0,7.91,-1.0,0.72
파스쿠찌,케이크_ITS 티라미수 케이크,100,295,4.17,-1.0,-1.0,2.95,-1.0,5.65,-1.0,0.51
스타벅스,케이크_The 촉촉 초콜릿 생크 림케이크,100,386,5.83,-1.0,-1.0,3.86,-1.0,6.04,-1.0,0.55
투썸플레이스,케이크_TWG밀크티파운드 케이크,100,370,4.35,-1.0,-1.0,3.7,-1.0,4.7,-1.0,0.43
파리바게뜨,케이크_가나슈초콜릿 케이크 (조각),100,350,4.44,26.67,41.11,3.5,46.98,5.07,68.58,0.46
커피베이,케이크_갸또쇼콜라 케이크,100,349,4.64,-1.0,-1.0,3.49,-1.0,5.32,-1.0,0.48
파리바게뜨,케이크_고구마건포도롤 케이크,100,335,8.0,-1.0,-1.0,3.35,-1.0,9.55,-1.0,0.87
토프레소,케이크_고구마무스 케이크,100,244,3.33,-1.0,-1.0,2.44,-1.0,5.46,-1.0,0.5
투썸플레이스,케이크_고구마밀크생크림 케이크,100,243,4.45,-1.0,-1.0,2.43,-1.0,7.33,-1.0,0.67
파리바게뜨,케이크_고구마반생크림반 케이크,100,220,3.0,12.0,25.0,2.2,45.45,5.45,49.09,0.5
커피마마,케이크_고구마스틱 케이크,100,236,4.44,-1.0,-1.0,2.36,-1.0,7.53,-1.0,0.68
따삐오,케이크_고구마 케이크 (조각),100,267,3.33,-1.0,-1.0,2.67,-1.0,4.99,-1.0,0.45
따삐오,케이크_고구마 케이크 1호,100,280,3.0,-1.0,-1.0,2.8,-1.0,4.29,-1.0,0.39
따삐오,케이크_고구마 케이크 3호,100,263,3.0,-1.0,-1.0,2.63,-1.0,4.56,-1.0,0.41
파리바게뜨,케이크_곰곰이너만생각해 케이크,100,295,4.0,-1.0,-1.0,2.95,-1.0,5.42,-1.0,0.49
엔제리너스,케이크_귀여운 노랑치즈 케이크,100,398,6.0,-1.0,27.5,3.98,27.64,6.03,-1.0,0.55
투썸플레이스,케이크_그뤼에르치즈무스 케이크,100,352,4.69,-1.0,-1.0,3.52,-1.0,5.33,-1.0,0.48
카페띠아모,케이크_그린티 롤케이크,100,325,6.67,-1.0,-1.0,3.25,-1.0,8.21,-1.0,0.75
커피빈,케이크_까망베르치즈 케이크 1호,100,267,5.83,-1.0,-1.0,2.67,-1.0,8.73,-1.0,0.79
커피빈,케이크_까망베르치즈 케이크 2호,100,267,5.9,-1.0,-1.0,2.67,-1.0,8.84,-1.0,0.8
따삐오,케이크_까망베르 케이크 (조각),100,321,5.33,-1.0,-1.0,3.21,-1.0,6.64,-1.0,0.6
공차,케이크_너트 브라우니,100,449,5.88,25.88,48.24,4.49,42.98,5.24,51.88,0.48
마리웨일237,케이크_녹차바스크치즈 케이크,100,363,5.26,-1.0,-1.0,3.63,-1.0,5.8,-1.0,0.53
망원동티라미수,케이크_녹차티라미수 케이크,100,289,3.96,-1.0,-1.0,2.89,-1.0,5.48,-1.0,0.5
롤링핀,케이크_뉴욕슈치즈 케이크 (조각),100,374,7.1,-1.0,-1.0,3.74,-1.0,7.59,-1.0,0.69
따삐오,케이크_뉴욕치즈 케이크 (조각),100,353,8.0,-1.0,-1.0,3.53,-1.0,9.07,-1.0,0.82
롤링핀,케이크_뉴욕치즈 케이크,100,340,5.4,-1.0,-1.0,3.4,-1.0,6.35,-1.0,0.58
커피에반하다,케이크_뉴욕치즈 케이크,100,257,4.62,-1.0,-1.0,2.57,-1.0,7.19,-1.0,0.65
투썸플레이스,케이크_뉴욕치즈 케이크 케이크 (조각),100,304,4.9,-1.0,-1.0,3.04,-1.0,6.45,-1.0,0.59
투썸플레이스,케이크_뉴욕치즈 케이크,100,317,4.76,-1.0,-1.0,3.17,-1.0,6.01,-1.0,0.55
토프레소,케이크_다크초코 케이크,100,375,3.75,-1.0,-1.0,3.75,-1.0,4.0,-1.0,0.36
커피에반하다,케이크_다크초콜릿 롤 케이크,100,242,4.55,-1.0,-1.0,2.42,-1.0,7.52,-1.0,0.68
드롭탑,케이크_다크초콜릿 케이크,100,375,3.75,15.0,-1.0,3.75,-1.0,4.0,36.0,0.36
드롭탑,케이크_다크포레누아 케이크,100,322,5.22,7.57,-1.0,3.22,-1.0,6.48,21.16,0.59
투썸플레이스,케이크_다크피칸브라우니,100,470,6.0,-1.0,-1.0,4.7,-1.0,5.11,-1.0,0.46
파리바게뜨,케이크_달콤 부드러운 호박고구마 케이크,100,250,3.0,-1.0,-1.0,2.5,-1.0,4.8,-1.0,0.44
커피베이,케이크_달토끼의 당근 케이크,100,324,4.3,-1.0,-1.0,3.24,-1.0,5.31,-1.0,0.48
카페베네,케이크_당근 치즈 케이크,100,317,4.64,-1.0,-1.0,3.17,-1.0,5.85,-1.0,0.53
토프레소,케이크_당근 치즈 케이크,100,372,4.62,-1.0,-1.0,3.72,-1.0,4.97,-1.0,0.45
스타벅스,케이크_당근 현무암 케이크,100,290,3.81,-1.0,-1.0,2.9,-1.0,5.26,-1.0,0.48
롤링핀,케이크_당근 케이크 (조각),100,324,4.2,-1.0,-1.0,3.24,-1.0,5.19,-1.0,0.47
파스쿠찌,케이크_더 진한 캐롯 케이크 (조각),100,338,4.62,-1.0,-1.0,3.38,-1.0,5.47,-1.0,0.5
파스쿠찌,케이크_더 진한 캐롯 케이크 (홀),100,370,3.97,-1.0,-1.0,3.7,-1.0,4.29,-1.0,0.39
할리스,케이크_더블베리숲 치즈 케이크,100,378,6.96,-1.0,-1.0,3.78,-1.0,7.37,-1.0,0.67
이디야,케이크_더블치즈 케이크,100,311,7.78,-1.0,-1.0,3.11,-1.0,10.01,-1.0,0.91
따삐오,케이크_더블퍼지 케이크,100,445,4.76,-1.0,-1.0,4.45,-1.0,4.28,-1.0,0.39
파리바게뜨,케이크_더스퀘어 고구마 케이크,100,210,4.0,-1.0,-1.0,2.1,-1.0,7.62,-1.0,0.69
파리바게뜨,케이크_더스퀘어 딸기요거트 케이크,100,206,2.5,-1.0,-1.0,2.06,-1.0,4.85,-1.0,0.44
파리바게뜨,케이크_더스퀘어 딸기우유생크림 케이크,100,183,2.0,-1.0,-1.0,1.83,-1.0,4.37,-1.0,0.4
파리바게뜨,케이크_더스퀘어 딸기초코생크림 케이크,100,271,2.86,-1.0,-1.0,2.71,-1.0,4.22,-1.0,0.38
파리바게뜨,케이크_더스퀘어 라떼아트 케이크,100,363,4.17,-1.0,-1.0,3.63,-1.0,4.6,-1.0,0.42
파리바게뜨,케이크_더스퀘어 순수(秀)우유 케이크,100,300,4.55,-1.0,-1.0,3.0,-1.0,6.07,-1.0,0.55
커피에반하다,케이크_돌체티라미수 케이크,100,274,4.62,-1.0,-1.0,2.74,-1.0,6.74,-1.0,0.61
파스쿠찌,케이크_듀얼 치즈 케이크,100,330,7.06,-1.0,-1.0,3.3,-1.0,8.56,-1.0,0.78
파리바게뜨,케이크_듬뿍생딸기생크림 케이크 (12CM),100,265,3.0,18.0,24.0,2.65,36.23,4.53,61.13,0.41
파리바게뜨,케이크_듬뿍생딸기생크림 케이크 (15CM),100,265,3.0,17.0,25.0,2.65,37.74,4.53,57.74,0.41
커피에반하다,케이크_딸기 크레이프 케이크,100,223,2.86,-1.0,-1.0,2.23,-1.0,5.13,-1.0,0.47
파리바게뜨,케이크_딸기&치즈 케이크 (조각),100,275,4.0,18.0,25.0,2.75,36.36,5.82,58.91,0.53
마리웨일237,케이크_딸기모찌 롤케이크,100,309,1.82,-1.0,-1.0,3.09,-1.0,2.36,-1.0,0.21
투썸플레이스,케이크_딸기생크림 케이크 (조각),100,261,3.42,-1.0,-1.0,2.61,-1.0,5.24,-1.0,0.48
투썸플레이스,케이크_딸기생크림 케이크 1호,100,245,2.95,-1.0,-1.0,2.45,-1.0,4.82,-1.0,0.44
투썸플레이스,케이크_딸기생크림 케이크 2호,100,240,2.73,-1.0,-1.0,2.4,-1.0,4.55,-1.0,0.41
마리웨일237,케이크_딸기소보로컵 케이크,100,337,2.41,-1.0,-1.0,3.37,-1.0,2.86,-1.0,0.26
따삐오,케이크_딸기쉬폰 케이크,100,348,5.0,-1.0,-1.0,3.48,-1.0,5.75,-1.0,0.52
투썸플레이스,케이크_딸기요거생크림 케이크 (조각),100,237,2.63,-1.0,-1.0,2.37,-1.0,4.44,-1.0,0.4
투썸플레이스,케이크_딸기요거생크림 케이크,100,237,2.9,-1.0,-1.0,2.37,-1.0,4.89,-1.0,0.44
파리바게뜨,케이크_딸기우유생크림 케이크 (조각),100,275,3.33,-1.0,-1.0,2.75,-1.0,4.84,-1.0,0.44
롤링핀,케이크_딸기크레이프 케이크,100,239,4.8,-1.0,-1.0,2.39,-1.0,8.03,-1.0,0.73
망원동티라미수,케이크_딸기티라미수 케이크,100,265,1.77,-1.0,-1.0,2.65,-1.0,2.67,-1.0,0.24
엔제리너스,케이크_딸기포레누아 케이크,100,311,4.38,-1.0,33.13,3.11,42.61,5.63,-1.0,0.51
메가커피,케이크_떠먹는 유자 티라미수 케이크,100,274,3.5,-1.0,-1.0,2.74,-1.0,5.11,-1.0,0.46
메가커피,케이크_떠먹는 커피쿠키 케이크,100,340,3.96,-1.0,-1.0,3.4,-1.0,4.66,-1.0,0.42
메가커피,케이크_떠먹는 쿠키앤크림 케이크,100,271,2.97,-1.0,-1.0,2.71,-1.0,4.38,-1.0,0.4
메가커피,케이크_떠먹는 티라미수 케이크,100,314,4.26,-1.0,-1.0,3.14,-1.0,5.43,-1.0,0.49
이디야,케이크_떠먹는 티라미수 케이크,100,263,2.67,-1.0,-1.0,2.63,-1.0,4.06,-1.0,0.37
토프레소,케이크_떠먹는 티라미수 케이크,100,262,3.23,-1.0,-1.0,2.62,-1.0,4.93,-1.0,0.45
투썸플레이스,케이크_떠먹는고구마밀크생크림 케이크,100,250,4.4,-1.0,-1.0,2.5,-1.0,7.04,-1.0,0.64
투썸플레이스,케이크_떠먹는딸기레어치즈 케이크,100,279,4.29,-1.0,-1.0,2.79,-1.0,6.15,-1.0,0.56
투썸플레이스,케이크_떠먹는블루베리요거트생크림 케이크,100,265,3.24,-1.0,-1.0,2.65,-1.0,4.89,-1.0,0.44
투썸플레이스,케이크_떠먹는스트로베리초콜릿생크림 케이크,100,289,3.76,-1.0,-1.0,2.89,-1.0,5.2,-1.0,0.47
투썸플레이스,케이크_떠먹는아이스박스 케이크,100,339,3.68,-1.0,-1.0,3.39,-1.0,4.34,-1.0,0.39
롤링핀,케이크_떠먹는티라미수 케이크,100,319,6.6,-1.0,-1.0,3.19,-1.0,8.28,-1.0,0.75
투썸플레이스,케이크_떠먹는티라미수 케이크,100,299,4.86,-1.0,-1.0,2.99,-1.0,6.5,-1.0,0.59
카페베네,케이크_라운드 쇼콜라 케이크,100,340,5.59,-1.0,-1.0,3.4,-1.0,6.58,-1.0,0.6
스타벅스,케이크_라즈베리 쇼콜라 케이크,100,428,4.8,-1.0,-1.0,4.28,-1.0,4.49,-1.0,0.41
카페띠아모,케이크_레드벨벳 요거트 롤케이크,100,323,5.78,-1.0,-1.0,3.23,-1.0,7.16,-1.0,0.65
스타벅스,케이크_레드벨벳 크림치즈 케이크,100,408,3.2,-1.0,-1.0,4.08,-1.0,3.14,-1.0,0.29
투썸플레이스,케이크_레드벨벳 케이크 (조각),100,278,2.61,-1.0,-1.0,2.78,-1.0,3.76,-1.0,0.34
파스쿠찌,케이크_레드벨벳 케이크 (홀),100,379,3.91,-1.0,-1.0,3.79,-1.0,4.13,-1.0,0.38
롤링핀,케이크_레드벨벳 케이크,100,418,4.1,-1.0,-1.0,4.18,-1.0,3.92,-1.0,0.36
커피에반하다,케이크_레드벨벳 케이크,100,303,5.0,-1.0,-1.0,3.03,-1.0,6.6,-1.0,0.6
투썸플레이스,케이크_레드벨벳 케이크,100,274,2.64,-1.0,-1.0,2.74,-1.0,3.85,-1.0,0.35
롤링핀,케이크_레드벨벳크림치즈 케이크 (조각),100,437,4.3,-1.0,-1.0,4.37,-1.0,3.94,-1.0,0.36
이디야,케이크_레몬 마스카포네 케이크,100,225,4.17,-1.0,-1.0,2.25,-1.0,7.41,-1.0,0.67
공차,케이크_레몬 슈가 파운드 케이크,100,431,5.6,21.6,54.4,4.31,50.49,5.2,45.1,0.47
토프레소,케이크_레몬 파운드 케이크,100,404,4.0,-1.0,-1.0,4.04,-1.0,3.96,-1.0,0.36
롤링핀,케이크_레몬치즈 케이크 (조각),100,375,6.88,-1.0,-1.0,3.75,-1.0,7.34,-1.0,0.67
파스쿠찌,케이크_레이어 초코 케이크,100,364,4.35,-1.0,-1.0,3.64,-1.0,4.78,-1.0,0.43
롤링핀,케이크_레인보우 케이크 (조각),100,316,4.6,-1.0,-1.0,3.16,-1.0,5.82,-1.0,0.53
파스쿠찌,케이크_리모네 케이크 (조각),100,303,3.36,-1.0,-1.0,3.03,-1.0,4.44,-1.0,0.4
파스쿠찌,케이크_리모네 케이크 (홀),100,290,3.0,-1.0,-1.0,2.9,-1.0,4.14,-1.0,0.38
투썸플레이스,케이크_리얼생크림 케이크 2호,100,250,3.13,-1.0,-1.0,2.5,-1.0,5.01,-1.0,0.46
스타벅스,케이크_리치 가나슈 케이크,100,333,6.06,-1.0,-1.0,3.33,-1.0,7.28,-1.0,0.66
투썸플레이스,케이크_마스카포네 생크림 믹스드베리 케이크,100,233,2.53,-1.0,-1.0,2.33,-1.0,4.34,-1.0,0.39
스타벅스,케이크_마스카포네 티라미수 케이크,100,280,4.71,-1.0,-1.0,2.8,-1.0,6.73,-1.0,0.61
요거프레소,케이크_마스카포네 티라미수 케이크,100,315,5.38,-1.0,-1.0,3.15,-1.0,6.83,-1.0,0.62
이디야,케이크_마스카포네 티라미수 케이크,100,224,4.95,-1.0,-1.0,2.24,-1.0,8.84,-1.0,0.8
투썸플레이스,케이크_마스카포네생크림 케이크 자몽/오렌지,100,231,1.94,-1.0,-1.0,2.31,-1.0,3.36,-1.0,0.31
투썸플레이스,케이크_마스카포네티라미수 케이크,100,286,5.51,-1.0,-1.0,2.86,-1.0,7.71,-1.0,0.7
투썸플레이스,케이크_마이투썸하트 케이크,100,299,4.82,-1.0,-1.0,2.99,-1.0,6.45,-1.0,0.59
롤링핀,케이크_마카롱 케이크,100,336,5.1,-1.0,-1.0,3.36,-1.0,6.07,-1.0,0.55
공차,케이크_말렌카 케이크 월넛,100,394,6.5,20.0,47.0,3.94,47.72,6.6,45.69,0.6
공차,케이크_말렌카 케이크 코코아,100,408,6.7,21.0,48.0,4.08,47.06,6.57,46.32,0.6
엔제리너스,케이크_말차갸또 케이크,100,398,5.0,-1.0,45.0,3.98,45.23,5.03,-1.0,0.46
따삐오,케이크_맛있는딸기 롤케이크,100,341,5.56,-1.0,-1.0,3.41,-1.0,6.52,-1.0,0.59
따삐오,케이크_맛있는 롤케이크,100,351,5.56,-1.0,-1.0,3.51,-1.0,6.34,-1.0,0.58
따삐오,케이크_맛있는초코 롤케이크,100,356,6.67,-1.0,-1.0,3.56,-1.0,7.49,-1.0,0.68
스타벅스,케이크_멘지락 쑥팥 생크림 케이크,100,295,5.0,-1.0,-1.0,2.95,-1.0,6.78,-1.0,0.62
투썸플레이스,케이크_모어댄쿠키앤크림 케이크 1호,100,243,1.7,-1.0,-1.0,2.43,-1.0,2.8,-1.0,0.25
따삐오,케이크_모카케이크 2호,100,426,4.0,-1.0,-1.0,4.26,-1.0,3.76,-1.0,0.34
따삐오,케이크_미니소프트 딸기치즈 케이크,100,330,5.0,-1.0,-1.0,3.3,-1.0,6.06,-1.0,0.55
따삐오,케이크_미니소프트 바나나치즈 케이크,100,325,5.0,-1.0,-1.0,3.25,-1.0,6.15,-1.0,0.56
따삐오,케이크_미니쌀보리찜 케이크,100,300,5.0,-1.0,-1.0,3.0,-1.0,6.67,-1.0,0.61
따삐오,케이크_미니쌀쑥찜 케이크,100,280,4.44,-1.0,-1.0,2.8,-1.0,6.34,-1.0,0.58
따삐오,케이크_미니쌀옥수수찜 케이크,100,269,4.44,-1.0,-1.0,2.69,-1.0,6.6,-1.0,0.6
투썸플레이스,케이크_믹스드베리초콜릿생크림 케이크,100,248,3.94,-1.0,-1.0,2.48,-1.0,6.35,-1.0,0.58
망원동티라미수,케이크_민트초코티라미수 케이크,100,362,3.53,-1.0,-1.0,3.62,-1.0,3.9,-1.0,0.35
요거프레소,케이크_밀크 크레이프 케이크,100,225,3.0,-1.0,-1.0,2.25,-1.0,5.33,-1.0,0.48
커피에반하다,케이크_밀크 크레이프 케이크,100,225,3.0,-1.0,-1.0,2.25,-1.0,5.33,-1.0,0.48
롤링핀,케이크_밀크레이프 케이크,100,288,7.9,-1.0,-1.0,2.88,-1.0,10.97,-1.0,1.0
커피빈,케이크_밀크레이프 케이크,100,288,7.88,-1.0,-1.0,2.88,-1.0,10.94,-1.0,0.99
투썸플레이스,케이크_밀크생크림초콜릿수플레 케이크 (조각),100,295,4.55,-1.0,-1.0,2.95,-1.0,6.17,-1.0,0.56
투썸플레이스,케이크_밀크생크림초콜릿수플레 케이크,100,288,4.96,-1.0,-1.0,2.88,-1.0,6.89,-1.0,0.63
엔제리너스,케이크_밀크티갸또 케이크,100,378,5.0,-1.0,50.0,3.78,52.91,5.29,-1.0,0.48
투썸플레이스,케이크_밀키프로마쥬무스 딸기 케이크 (조각),100,300,5.16,-1.0,-1.0,3.0,-1.0,6.88,-1.0,0.63
투썸플레이스,케이크_밀키프로마쥬무스 케이크 딸기,100,267,4.68,-1.0,-1.0,2.67,-1.0,7.01,-1.0,0.64
투썸플레이스,케이크_밀키프로마쥬무스 케이크 믹스드베리,100,274,4.67,-1.0,-1.0,2.74,-1.0,6.82,-1.0,0.62
투썸플레이스,케이크_밀키프로마쥬무스 케이크 청포도,100,261,4.48,-1.0,-1.0,2.61,-1.0,6.87,-1.0,0.62
투썸플레이스,케이크_밀키프로마쥬무스 케이크 체리,100,277,4.8,-1.0,-1.0,2.77,-1.0,6.93,-1.0,0.63
카페베네,케이크_바스크 치즈 케이크,100,352,5.3,-1.0,-1.0,3.52,-1.0,6.02,-1.0,0.55
따삐오,케이크_바스크치즈 케이크,100,328,8.0,-1.0,-1.0,3.28,-1.0,9.76,-1.0,0.89
롤링핀,케이크_바스크치즈 케이크,100,119,2.0,-1.0,-1.0,1.19,-1.0,6.72,-1.0,0.61
스타벅스,케이크_백년초콜릿 크런치 케이크,100,475,3.33,-1.0,-1.0,4.75,-1.0,2.8,-1.0,0.25
마리웨일237,케이크_버터파운드 케이크,100,426,5.0,-1.0,-1.0,4.26,-1.0,4.69,-1.0,0.43
스타벅스,케이크_번트 치즈 케이크,100,413,5.5,-1.0,-1.0,4.13,-1.0,5.33,-1.0,0.48
엔제리너스,케이크_번트치즈 케이크,100,312,5.5,-1.0,30.0,3.12,38.46,7.05,-1.0,0.64
투썸플레이스,케이크_베리치즈브라우니,100,420,6.0,-1.0,-1.0,4.2,-1.0,5.71,-1.0,0.52
투썸플레이스,케이크_벨지안가나슈 케이크 (조각),100,527,6.71,-1.0,-1.0,5.27,-1.0,5.09,-1.0,0.46
투썸플레이스,케이크_벨지안멜팅가니슈 케이크,100,372,4.37,-1.0,-1.0,3.72,-1.0,4.7,-1.0,0.43
뚜레쥬르,케이크_봄이쑥절미생크림 케이크,100,288,5.1,-1.0,-1.0,2.88,-1.0,7.08,-1.0,0.64
따삐오,케이크_부드러운 백설기찜 케이크,100,259,5.0,-1.0,-1.0,2.59,-1.0,7.72,-1.0,0.7
따삐오,케이크_부드러운 쑥찜 케이크,100,267,5.0,-1.0,-1.0,2.67,-1.0,7.49,-1.0,0.68
할리스,케이크_부드러운 쿠키 앤 크림 케이크,100,212,4.26,-1.0,-1.0,2.12,-1.0,8.04,-1.0,0.73
스타벅스,케이크_부드러운 티라미수 롤케이크,100,328,5.93,-1.0,-1.0,3.28,-1.0,7.23,-1.0,0.66
뚜레쥬르,케이크_부드러운그린티쉬폰 케이크 2호,100,305,3.86,-1.0,-1.0,3.05,-1.0,5.06,-1.0,0.46
뚜레쥬르,케이크_부드러운블루베리쉬폰 케이크 2호,100,302,3.75,-1.0,-1.0,3.02,-1.0,4.97,-1.0,0.45
토프레소,케이크_브라우니,100,488,10.0,-1.0,-1.0,4.88,-1.0,8.2,-1.0,0.75
호밀호두,케이크_브라우니,100,520,7.5,-1.0,-1.0,5.2,-1.0,5.77,-1.0,0.52
투썸플레이스,케이크_블라썸그릭요거트무스 케이크,100,268,3.86,-1.0,-1.0,2.68,-1.0,5.76,-1.0,0.52
파스쿠찌,케이크_블랙 롤케이크,100,365,5.77,-1.0,-1.0,3.65,-1.0,6.32,-1.0,0.57
파스쿠찌,케이크_블랙쿠키 치즈 케이크 (조각),100,336,5.45,-1.0,-1.0,3.36,-1.0,6.49,-1.0,0.59
파스쿠찌,케이크_블랙쿠키 치즈 케이크 (홀),100,335,5.94,-1.0,-1.0,3.35,-1.0,7.09,-1.0,0.64
커피빈,케이크_블랙쿠키 케이크,100,304,4.12,-1.0,-1.0,3.04,-1.0,5.42,-1.0,0.49
파리바게뜨,케이크_블랙포레스트 케이크 (조각),100,311,4.44,22.22,25.56,3.11,32.87,5.71,64.3,0.52
파리바게뜨,케이크_블레싱 레드베리 미니 케이크,100,203,3.53,-1.0,-1.0,2.03,-1.0,6.96,-1.0,0.63
파리바게뜨,케이크_블레싱 초코베리 미니 케이크,100,226,4.12,-1.0,-1.0,2.26,-1.0,7.29,-1.0,0.66
파리바게뜨,케이크_블레싱레드베리 케이크,100,195,4.0,-1.0,-1.0,1.95,-1.0,8.21,-1.0,0.75
파리바게뜨,케이크_블레싱초코베리 케이크,100,240,4.0,16.0,19.0,2.4,31.67,6.67,60.0,0.61
요거프레소,케이크_블루베리 요거트 케이크,100,261,2.22,-1.0,-1.0,2.61,-1.0,3.4,-1.0,0.31
커피에반하다,케이크_블루베리 요거트 케이크,100,261,2.22,-1.0,-1.0,2.61,-1.0,3.4,-1.0,0.31
이디야,케이크_블루베리 치즈 스틱 케이크,100,344,6.67,-1.0,-1.0,3.44,-1.0,7.76,-1.0,0.71
스타벅스,케이크_블루베리 쿠키 치즈 케이크 (조각),100,379,5.0,-1.0,-1.0,3.79,-1.0,5.28,-1.0,0.48
스타벅스,케이크_블루베리 쿠키 치즈 케이크,100,390,4.0,-1.0,-1.0,3.9,-1.0,4.1,-1.0,0.37
커피에반하다,케이크_블루베리 크레이프 케이크,100,225,2.86,-1.0,-1.0,2.25,-1.0,5.08,-1.0,0.46
이디야,케이크_블루베리 크림치즈 케이크,100,281,4.65,-1.0,-1.0,2.81,-1.0,6.62,-1.0,0.6
따삐오,케이크_블루베리 롤케이크,100,321,6.0,-1.0,-1.0,3.21,-1.0,7.48,-1.0,0.68
따삐오,케이크_블루베리쉬폰 케이크,100,348,5.0,-1.0,-1.0,3.48,-1.0,5.75,-1.0,0.52
