업체명,식품명,기준량(g),에너지(kcal),단백질(g),지방(g),탄수화물(g),에너지밀도(kcal/g),탄수화물_에너지비율(%),단백질_에너지비율(%),지방_에너지비율(%),단백질_INQ
더벤티,기타빵_톡톡쫄깃 옥수수빵,100,299,5.0,-1.0,-1.0,2.99,-1.0,6.69,-1.0,0.61
피자알볼로,기타빵_고구마스틱,100,258,10.11,-1.0,-1.0,2.58,-1.0,15.67,-1.0,1.42
뚜레쥬르,기타빵_달콩찹쌀브레드,100,336,7.14,-1.0,-1.0,3.36,-1.0,8.5,-1.0,0.77
뚜레쥬르,기타빵_마늘단짝고구마,100,332,6.63,-1.0,-1.0,3.32,-1.0,7.99,-1.0,0.73
피자알볼로,기타빵_슈크림치즈스틱,100,318,12.14,-1.0,-1.0,3.18,-1.0,15.27,-1.0,1.39
피자알볼로,기타빵_스트링치즈스틱,100,303,16.93,-1.0,-1.0,3.03,-1.0,22.35,-1.0,2.03
뚜레쥬르,기타빵_씨앗깜파뉴(Half),100,291,12.06,-1.0,-1.0,2.91,-1.0,16.58,-1.0,1.51
뚜레쥬르,기타빵_씨앗깜파뉴(대),100,291,12.03,-1.0,-1.0,2.91,-1.0,16.54,-1.0,1.5
뚜레쥬르,기타빵_씨앗깜파뉴(소),100,291,12.06,-1.0,-1.0,2.91,-1.0,16.58,-1.0,1.51
뚜레쥬르,기타빵_얼그레이까눌레,100,222,4.44,-1.0,-1.0,2.22,-1.0,8.0,-1.0,0.73
뚜레쥬르,기타빵_연유버터라우겐,100,239,4.02,-1.0,-1.0,2.39,-1.0,6.73,-1.0,0.61
뚜레쥬르,기타빵_오리지널까눌레,100,222,4.44,-1.0,-1.0,2.22,-1.0,8.0,-1.0,0.73
뚜레쥬르,기타빵_옥수수범벅,100,332,6.52,-1.0,-1.0,3.32,-1.0,7.86,-1.0,0.71
피자알볼로,기타빵_잔슨빌스틱,100,325,14.89,-1.0,-1.0,3.25,-1.0,18.33,-1.0,1.67
파리바게뜨,기타빵_제주쑥오메기빵,100,211,6.32,-1.0,-1.0,2.11,-1.0,11.98,-1.0,1.09
뚜레쥬르,기타빵_코코넛로쉐(낱개),100,304,8.7,-1.0,-1.0,3.04,-1.0,11.45,-1.0,1.04
뚜레쥬르,기타빵_콩팥담뿍브레드,100,286,8.16,-1.0,-1.0,2.86,-1.0,11.41,-1.0,1.04
뚜레쥬르,기타빵_콩팥담뿍브레드(Half),100,287,7.9,-1.0,-1.0,2.87,-1.0,11.01,-1.0,1.0
피자알볼로,기타빵_통밀스틱,100,257,9.72,-1.0,-1.0,2.57,-1.0,15.13,-1.0,1.38
피자알볼로,기타빵_흑미브래드스틱,100,310,10.77,-1.0,-1.0,3.1,-1.0,13.9,-1.0,1.26
더리터,기타빵_고구마빵,100,272,2.22,-1.0,51.11,2.72,75.16,3.26,-1.0,0.3
블루샥,기타빵_까눌레,100,339,6.0,-1.0,-1.0,3.39,-1.0,7.08,-1.0,0.64
할리스,기타빵_달달 고구마빵,100,238,1.11,-1.0,-1.0,2.38,-1.0,1.87,-1.0,0.17
더벤티,기타빵_달콤촉촉고구마빵,100,273,1.82,-1.0,-1.0,2.73,-1.0,2.67,-1.0,0.24
바나프레소,기타빵_진짜고구마빵,100,287,2.0,10.2,47.0,2.87,65.51,2.79,31.99,0.25
카페게이트,기타빵_쫀득 고구마빵,100,290,6.0,-1.0,-1.0,2.9,-1.0,8.28,-1.0,0.75
카페게이트,기타빵_톡톡 초당옥수수빵,100,300,4.0,-1.0,-1.0,3.0,-1.0,5.33,-1.0,0.48
할리스,기타빵_통통 옥수수빵,100,274,2.86,-1.0,-1.0,2.74,-1.0,4.18,-1.0,0.38
따삐오,깨찰빵_깨찰빵,100,302,4.0,-1.0,-1.0,3.02,-1.0,5.3,-1.0,0.48
롤링핀,깨찰빵_씨앗찰빵,100,366,6.0,-1.0,-1.0,3.66,-1.0,6.56,-1.0,0.6
파리바게뜨,깨찰빵_쫀득쫀득한찰깨빵 (2개입),100,373,3.64,12.73,63.64,3.73,68.25,3.9,30.72,0.35
파리바게뜨,깨찰빵_쫀득쫀득한찰깨빵,100,373,3.64,12.73,63.64,3.73,68.25,3.9,30.72,0.35
파리바게뜨,깨찰빵_쫀득한모카찰깨빵,100,357,4.29,-1.0,-1.0,3.57,-1.0,4.81,-1.0,0.44
뚜레쥬르,깨찰빵_깨찰빵,100,375,4.17,-1.0,-1.0,3.75,-1.0,4.45,-1.0,0.4
파리바게뜨,깨찰빵_우리찹쌀모카찰떡빵,100,285,7.0,-1.0,-1.0,2.85,-1.0,9.82,-1.0,0.89
파리바게뜨,깨찰빵_쫀득고소한 추억의 찰깨빵,100,329,2.86,-1.0,-1.0,3.29,-1.0,3.48,-1.0,0.32
파리바게뜨,도넛_고구마품은 꽈배기,100,339,5.71,-1.0,-1.0,3.39,-1.0,6.74,-1.0,0.61
크리스피크림도넛,도넛_골드초코 허니비 도넛,100,479,6.41,-1.0,-1.0,4.79,-1.0,5.35,-1.0,0.49
크리스피크림도넛,도넛_글레이즈드 사워크림 도넛,100,426,2.5,-1.0,-1.0,4.26,-1.0,2.35,-1.0,0.21
크리스피크림도넛,도넛_글레이즈드 초콜릿 케익 도넛,100,416,3.75,-1.0,-1.0,4.16,-1.0,3.61,-1.0,0.33
파리바게뜨,도넛_글레이즈츄잉스타,100,404,1.92,-1.0,-1.0,4.04,-1.0,1.9,-1.0,0.17
던킨도너츠,도넛_기라델리민트초코링 도넛,100,388,5.56,-1.0,-1.0,3.88,-1.0,5.73,-1.0,0.52
뚜레쥬르,도넛_깨찰 도넛,100,384,3.57,-1.0,-1.0,3.84,-1.0,3.72,-1.0,0.34
송사부수제쌀고로케,도넛_깨찰 도넛,100,444,4.44,-1.0,-1.0,4.44,-1.0,4.0,-1.0,0.36
크리스피크림도넛,도넛_뉴욕 치즈케익 도넛,100,369,5.56,-1.0,-1.0,3.69,-1.0,6.03,-1.0,0.55
뚜레쥬르,도넛_뉴패스트리 도넛,100,408,6.12,-1.0,-1.0,4.08,-1.0,6.0,-1.0,0.55
파리바게뜨,도넛_다크초코링도넛,100,469,6.15,24.62,46.15,4.69,39.36,5.25,47.25,0.48
따삐오,도넛_단팥도너츠,100,304,8.75,-1.0,-1.0,3.04,-1.0,11.51,-1.0,1.05
파리바게뜨,도넛_단팥품은 꽈배기,100,330,6.09,-1.0,-1.0,3.3,-1.0,7.38,-1.0,0.67
파리바게뜨,도넛_달콤한 꿀도넛,100,343,5.71,10.29,60.0,3.43,69.97,6.66,27.0,0.61
파리바게뜨,도넛_달콤한꿀도넛 (3개입),100,348,4.76,10.48,59.05,3.48,67.87,5.47,27.1,0.5
파리바게뜨,도넛_달콤한꿀도넛 (4개입),100,350,5.0,10.0,59.29,3.5,67.76,5.71,25.71,0.52
파리바게뜨,도넛_달콤한꿀도넛 (5개입),100,349,5.14,10.29,59.43,3.49,68.11,5.89,26.54,0.54
파리바게뜨,도넛_달콤한 왕꽈배기,100,377,5.45,-1.0,-1.0,3.77,-1.0,5.78,-1.0,0.53
던킨도너츠,도넛_던킨카페모카롤,100,433,5.26,22.37,52.63,4.33,48.62,4.86,46.5,0.44
송사부수제쌀고로케,도넛_데니쉬 꽈배기,100,442,8.0,-1.0,-1.0,4.42,-1.0,7.24,-1.0,0.66
파리바게뜨,도넛_돌돌말린소시지 도넛,100,341,7.06,15.29,45.88,3.41,53.82,8.28,40.35,0.75
크리스피크림도넛,도넛_딸기 와플넛,100,416,5.56,-1.0,-1.0,4.16,-1.0,5.35,-1.0,0.49
크리스피크림도넛,도넛_딸기 우유크림 듬뿍 도넛,100,405,5.75,-1.0,-1.0,4.05,-1.0,5.68,-1.0,0.52
뚜레쥬르,도넛_딸기마카롱 도넛,100,433,7.69,-1.0,-1.0,4.33,-1.0,7.1,-1.0,0.65
던킨도너츠,도넛_딸기츄이스티 도넛,100,450,1.92,-1.0,-1.0,4.5,-1.0,1.71,-1.0,0.16
파스쿠찌,도넛_또르체티 이탈리아 꽈배기과자,100,463,7.5,-1.0,-1.0,4.63,-1.0,6.48,-1.0,0.59
던킨도너츠,도넛_러블리듀얼하트 도넛,100,353,4.05,-1.0,-1.0,3.53,-1.0,4.59,-1.0,0.42
크리스피크림도넛,도넛_레이디버그 도넛,100,481,6.49,-1.0,-1.0,4.81,-1.0,5.4,-1.0,0.49
크리스피크림도넛,도넛_루비초코 블라썸 도넛,100,400,5.19,-1.0,-1.0,4.0,-1.0,5.19,-1.0,0.47
못난이꽈배기,도넛_못난이찹쌀고구마크림치즈 도넛,100,293,6.81,-1.0,-1.0,2.93,-1.0,9.3,-1.0,0.85
못난이꽈배기,도넛_못난이찹쌀깨찰 도넛,100,560,1.0,-1.0,-1.0,5.6,-1.0,0.71,-1.0,0.06
못난이꽈배기,도넛_못난이찹쌀 꽈배기,100,291,7.27,-1.0,-1.0,2.91,-1.0,9.99,-1.0,0.91
못난이꽈배기,도넛_못난이찹쌀모짜렐라치즈 도넛,100,276,10.71,-1.0,-1.0,2.76,-1.0,15.52,-1.0,1.41
못난이꽈배기,도넛_못난이찹쌀유자 도넛,100,271,6.57,-1.0,-1.0,2.71,-1.0,9.7,-1.0,0.88
못난이꽈배기,도넛_못난이찹쌀팥 도넛,100,279,7.0,-1.0,-1.0,2.79,-1.0,10.04,-1.0,0.91
크리스피크림도넛,도넛_미니 오리지널 글레이즈드 도넛,100,439,8.7,-1.0,-1.0,4.39,-1.0,7.93,-1.0,0.72
따삐오,도넛_미니찹쌀도너츠,100,466,5.26,-1.0,-1.0,4.66,-1.0,4.52,-1.0,0.41
파리바게뜨,도넛_미니찹쌀 도넛 (3개입),100,395,4.76,9.52,72.38,3.95,73.3,4.82,21.69,0.44
파리바게뜨,도넛_미니찹쌀 도넛 (4개입),100,393,5.0,9.29,72.14,3.93,73.42,5.09,21.27,0.46
파리바게뜨,도넛_미니찹쌀 도넛 (5개입),100,394,5.14,9.14,72.0,3.94,73.1,5.22,20.88,0.47
송사부수제쌀고로케,도넛_미니찹쌀 도넛,100,366,4.0,-1.0,-1.0,3.66,-1.0,4.37,-1.0,0.4
파리바게뜨,도넛_미니찹쌀 도넛,100,400,5.71,9.14,71.43,4.0,71.43,5.71,20.56,0.52
크리스피크림도넛,도넛_밀크크림 플라워 도넛,100,415,5.63,-1.0,-1.0,4.15,-1.0,5.43,-1.0,0.49
파리바게뜨,도넛_베리베리크림 도넛,100,365,5.0,-1.0,-1.0,3.65,-1.0,5.48,-1.0,0.5
스타벅스,도넛_베이크드 헤이즐넛 쇼콜라넛,100,435,6.92,-1.0,-1.0,4.35,-1.0,6.36,-1.0,0.58
던킨도너츠,도넛_보스톤크림 도넛,100,364,4.48,17.91,46.27,3.64,50.85,4.92,44.28,0.45
송사부수제쌀고로케,도넛_생도넛,100,496,5.71,-1.0,-1.0,4.96,-1.0,4.6,-1.0,0.42
파리바게뜨,도넛_생도넛,100,450,7.5,-1.0,-1.0,4.5,-1.0,6.67,-1.0,0.61
던킨도너츠,도넛_소금우유 도넛,100,460,3.33,25.0,51.67,4.6,44.93,2.9,48.91,0.26
뚜레쥬르,도넛_소보로만난 앙넛,100,391,7.27,-1.0,-1.0,3.91,-1.0,7.44,-1.0,0.68
던킨도너츠,도넛_솔티카라멜바이츠 도넛,100,392,5.41,-1.0,-1.0,3.92,-1.0,5.52,-1.0,0.5
송사부수제쌀고로케,도넛_송사부 꽈배기,100,382,7.89,-1.0,-1.0,3.82,-1.0,8.26,-1.0,0.75
크리스피크림도넛,도넛_슈거코티드 도넛,100,444,6.67,-1.0,-1.0,4.44,-1.0,6.01,-1.0,0.55
파리바게뜨,도넛_스노우링 도넛,100,420,6.0,-1.0,-1.0,4.2,-1.0,5.71,-1.0,0.52
파리바게뜨,도넛_시나몬슈가링 도넛,100,420,6.0,-1.0,-1.0,4.2,-1.0,5.71,-1.0,0.52
파리바게뜨,도넛_아몬드초코링 도넛,100,468,8.06,-1.0,-1.0,4.68,-1.0,6.89,-1.0,0.63
뚜레쥬르,도넛_엄마랑장볼때먹던그때그도나쓰,100,322,3.7,-1.0,-1.0,3.22,-1.0,4.6,-1.0,0.42
크리스피크림도넛,도넛_오리지널 글레이즈드 도넛,100,428,6.38,-1.0,-1.0,4.28,-1.0,5.96,-1.0,0.54
크리스피크림도넛,도넛_오리지널 바이츠 도넛,100,436,7.14,-1.0,-1.0,4.36,-1.0,6.55,-1.0,0.6
크리스피크림도넛,도넛_오리지널 우유 크림 필드 도넛,100,403,6.45,-1.0,-1.0,4.03,-1.0,6.4,-1.0,0.58
크리스피크림도넛,도넛_오리지널 초콜릿 필드 도넛,100,456,6.45,-1.0,-1.0,4.56,-1.0,5.66,-1.0,0.51
던킨도너츠,도넛_옥수수꽈배기 도넛,100,404,7.89,-1.0,-1.0,4.04,-1.0,7.81,-1.0,0.71
송사부수제쌀고로케,도넛_옥수수찹쌀 도넛,100,332,4.0,-1.0,-1.0,3.32,-1.0,4.82,-1.0,0.44
던킨도너츠,도넛_올드훼션드먼치킨,100,471,3.57,25.71,57.14,4.71,48.53,3.03,49.13,0.28
던킨도너츠,도넛_올리브츄이스티 도넛,100,404,2.04,20.41,53.06,4.04,52.53,2.02,45.47,0.18
파리바게뜨,도넛_왕크림 도넛,100,335,6.15,20.0,33.85,3.35,40.42,7.34,53.73,0.67
